Score: 2040
  1 | 22 18 4 33 3 8 16 24 7 12 29 15 10 20 14 25 9 21 1 11 5 27 13 32 30 19 17 6 23 2 28 26 21 6 31 8 16 32 14 9 20 34 25 7 4 12 5 28 18 33 27 26 17 15 24 22 13 11 3 23 29 10 2 1
  2 | 10 12 1 31 20 27 9 17 2 24 30 23 18 16 11 7 13 6 22 19 26 32 21 3 5 15 25 29 8 4 28 14 8 30 13 11 25 4 26 19 24 17 15 27 1 21 6 3 28 31 5 29 22 9 23 14 12 2 7 16 18 20 10 33
  3 | 25 14 22 32 2 21 24 27 20 7 3 26 23 9 18 8 31 17 10 33 30 11 1 6 4 5 19 15 13 29 12 16 28 32 10 17 3 19 14 27 1 20 2 21 5 6 29 9 7 31 12 4 30 26 22 11 8 16 24 25 23 13 15 33
  4 | 13 2 5 4 12 6 11 1 17 26 22 23 29 33 8 14 3 20 16 32 19 27 15 24 21 28 18 10 34 7 31 9 29 19 35 6 1 36 21 3 18 11 12 30 5 25 8 16 14 13 15 24 22 4 32 9 10 31 2 26 23 17 7 28
  5 | 21 9 14 22 3 10 28 29 18 6 27 19 15 33 31 17 8 34 23 12 7 25 20 2 5 1 16 30 4 26 11 24 11 15 4 26 35 32 17 1 10 29 9 24 8 18 16 2 30 3 25 23 20 13 12 7 36 22 31 19 27 21 33 5
  6 | 10 19 22 24 32 25 26 17 30 2 15 1 3 14 16 4 9 8 31 28 5 7 12 29 18 27 6 20 21 11 23 13 13 5 18 10 33 27 20 28 22 17 32 19 24 12 31 3 1 2 7 14 16 30 4 29 6 15 11 25 9 21 8 26
  7 | 21 9 12 32 28 11 13 23 4 31 7 17 24 5 6 2 20 29 25 15 16 3 22 27 14 26 18 10 8 1 30 19 19 16 12 1 5 33 9 24 14 10 26 23 22 2 18 8 15 6 30 4 7 3 17 28 25 31 20 11 21 34 29 13
  8 | 9 27 6 26 21 32 20 12 29 2 13 4 28 8 30 19 1 25 23 15 18 5 3 11 24 22 16 14 7 10 33 17 13 10 34 9 12 2 27 17 16 20 19 1 21 26 18 25 14 30 3 8 24 22 4 5 31 15 7 11 28 6 23 32
  9 | 27 23 26 14 28 21 5 16 15 11 4 7 13 8 20 24 9 18 10 31 1 29 17 3 6 32 30 25 33 12 19 2 11 12 26 30 8 25 33 2 3 22 10 15 17 21 1 19 18 16 29 28 23 24 13 32 6 4 14 7 5 20 9 27
 10 | 3 13 6 24 21 1 7 18 25 20 11 15 12 19 28 16 17 4 14 26 10 22 8 31 32 9 30 5 2 33 23 27 12 13 26 17 15 5 2 3 21 25 20 1 24 14 28 31 10 29 23 34 27 9 22 8 32 18 35 19 11 16 4 6
